country,year,production,lat,lng
Austria,2015,4801.643,47.5162,14.5501
Belgium,2015,3986.949,50.5039,4.4699
Bulgaria,2015,19325.944,42.7339,25.4858
Croatia,2015,1705.3348,45.1,15.2
Cyprus,2015,0.0,35.1264,33.4299
Czechia,2015,39202.019,49.8175,15.473
Denmark,2015,6598.894,56.2639,9.5018
Estonia,2015,7452.329,58.5953,25.0136
Finland,2015,8339.86,61.9241,25.7482
France,2015,13677.933,46.6034,1.8883
Germany,2015,262351.439,51.1657,10.4515
Greece,2015,19877.461,39.0742,21.8243
Hungary,2015,5336.826,47.1625,19.5033
Ireland,2015,7122.67,53.4129,-8.2439
Italy,2015,43222.174,41.8719,12.5674
Latvia,2015,0.0,56.8796,24.6032
Lithuania,2015,0.0,55.1694,23.8813
Luxembourg,2015,0.0,49.8153,6.1296
Malta,2015,0.0,35.9375,14.3754
Netherlands,2015,40385.137,52.1326,5.2913
Poland,2015,120596.056,51.9194,19.1451
Portugal,2015,14106.605,39.3999,-8.2245
Romania,2015,15731.979,45.9432,24.9668
Slovakia,2015,2903.137,48.669,19.699
Slovenia,2015,3886.175,46.1512,14.9955
Spain,2015,50039.076,40.4637,-3.7492
Sweden,2015,1217.159,60.1282,18.6435
EU27,2015,691866.7998,,
Austria,2016,3775.207,47.5162,14.5501
Belgium,2016,2550.447,50.5039,4.4699
Bulgaria,2016,16577.05,42.7339,25.4858
Croatia,2016,2264.509,45.1,15.2
Cyprus,2016,0.0,35.1264,33.4299
Czechia,2016,40064.542,49.8175,15.473
Denmark,2016,8104.971,56.2639,9.5018
Estonia,2016,8654.577,58.5953,25.0136
Finland,2016,9932.176,61.9241,25.7482
France,2016,11552.874,46.6034,1.8883
Germany,2016,254021.314,51.1657,10.4515
Greece,2016,16884.706,39.0742,21.8243
Hungary,2016,5194.557,47.1625,19.5033
Ireland,2016,6770.251,53.4129,-8.2439
Italy,2016,36746.22,41.8719,12.5674
Latvia,2016,0.0,56.8796,24.6032
Lithuania,2016,0.0,55.1694,23.8813
Luxembourg,2016,0.0,49.8153,6.1296
Malta,2016,0.0,35.9375,14.3754
Netherlands,2016,37914.376,52.1326,5.2913
Poland,2016,120373.13,51.9194,19.1451
Portugal,2016,12122.739,39.3999,-8.2245
Romania,2016,13859.597,45.9432,24.9668
Slovakia,2016,2825.433,48.669,19.699
Slovenia,2016,4477.523,46.1512,14.9955
Spain,2016,35670.309,40.4637,-3.7492
Sweden,2016,1014.302,60.1282,18.6435
EU27,2016,651350.81,,
Austria,2017,3736.746,47.5162,14.5501
Belgium,2017,2325.831,50.5039,4.4699
Bulgaria,2017,17906.085,42.7339,25.4858
Croatia,2017,2023.413,45.1,15.2
Cyprus,2017,0.0,35.1264,33.4299
Czechia,2017,39318.037,49.8175,15.473
Denmark,2017,5650.495,56.2639,9.5018
Estonia,2017,9333.348,58.5953,25.0136
Finland,2017,8717.409,61.9241,25.7482
France,2017,14338.127,46.6034,1.8883
Germany,2017,235206.074,51.1657,10.4515
Greece,2017,16660.659,39.0742,21.8243
Hungary,2017,4677.947,47.1625,19.5033
Ireland,2017,5609.512,53.4129,-8.2439
Italy,2017,33566.589,41.8719,12.5674
Latvia,2017,0.0,56.8796,24.6032
Lithuania,2017,0.0,55.1694,23.8813
Luxembourg,2017,0.0,49.8153,6.1296
Malta,2017,0.0,35.9375,14.3754
Netherlands,2017,32794.919,52.1326,5.2913
Poland,2017,120096.949,51.9194,19.1451
Portugal,2017,14106.765,39.3999,-8.2245
Romania,2017,14653.495,45.9432,24.9668
Slovakia,2017,3083.506,48.669,19.699
Slovenia,2017,4346.215,46.1512,14.9955
Spain,2017,44217.324,40.4637,-3.7492
Sweden,2017,1185.996,60.1282,18.6435
EU27,2017,633555.441,,
Austria,2018,3449.1382,47.5162,14.5501
Belgium,2018,2246.4765,50.5039,4.4699
Bulgaria,2018,15989.4144,42.7339,25.4858
Croatia,2018,1336.0186,45.1,15.2
Cyprus,2018,0.0,35.1264,33.4299
Czechia,2018,39065.5979,49.8175,15.473
Denmark,2018,6120.7095,56.2639,9.5018
Estonia,2018,8895.4408,58.5953,25.0136
Finland,2018,9488.1031,61.9241,25.7482
France,2018,9945.7614,46.6034,1.8883
Germany,2018,221927.6277,51.1657,10.4515
Greece,2018,16050.2518,39.0742,21.8243
Hungary,2018,4423.5195,47.1625,19.5033
Ireland,2018,4090.4184,53.4129,-8.2439
Italy,2018,29614.2366,41.8719,12.5674
Latvia,2018,6.3853,56.8796,24.6032
Lithuania,2018,0.0,55.1694,23.8813
Luxembourg,2018,0.0,49.8153,6.1296
Malta,2018,0.0,35.9375,14.3754
Netherlands,2018,29260.4476,52.1326,5.2913
Poland,2018,120586.4651,51.9194,19.1451
Portugal,2018,11553.2209,39.3999,-8.2245
Romania,2018,13713.3392,45.9432,24.9668
Slovakia,2018,3133.03,48.669,19.699
Slovenia,2018,4163.465,46.1512,14.9955
Spain,2018,36853.7495,40.4637,-3.7492
Sweden,2018,1355.8856,60.1282,18.6435
EU27,2018,593268.7026,,
Austria,2019,3269.8302,47.5162,14.5501
Belgium,2019,2426.7818,50.5039,4.4699
Bulgaria,2019,14766.7633,42.7339,25.4858
Croatia,2019,1510.5978,45.1,15.2
Cyprus,2019,0.0,35.1264,33.4299
Czechia,2019,35406.227,49.8175,15.473
Denmark,2019,3088.3859,56.2639,9.5018
Estonia,2019,4549.2482,58.5953,25.0136
Finland,2019,7527.4903,61.9241,25.7482
France,2019,5540.2924,46.6034,1.8883
Germany,2019,169042.9643,51.1657,10.4515
Greece,2019,11006.4762,39.0742,21.8243
Hungary,2019,3855.3326,47.1625,19.5033
Ireland,2019,2352.0029,53.4129,-8.2439
Italy,2019,20344.6174,41.8719,12.5674
Latvia,2019,0.0,56.8796,24.6032
Lithuania,2019,0.0,55.1694,23.8813
Luxembourg,2019,0.0,49.8153,6.1296
Malta,2019,0.0,35.9375,14.3754
Netherlands,2019,19408.8911,52.1326,5.2913
Poland,2019,110299.9707,51.9194,19.1451
Portugal,2019,5375.8417,39.3999,-8.2245
Romania,2019,11838.2053,45.9432,24.9668
Slovakia,2019,2414.875,48.669,19.699
Slovenia,2019,4037.0043,46.1512,14.9955
Spain,2019,13445.9985,40.4637,-3.7492
Sweden,2019,1141.5697,60.1282,18.6435
EU27,2019,452649.3666,,
Austria,2020,2521.2062,47.5162,14.5501
Belgium,2020,1811.3929,50.5039,4.4699
Bulgaria,2020,11513.6368,42.7339,25.4858
Croatia,2020,1124.8834,45.1,15.2
Cyprus,2020,0.0,35.1264,33.4299
Czechia,2020,29268.0357,49.8175,15.473
Denmark,2020,2828.6313,56.2639,9.5018
Estonia,2020,3253.724,58.5953,25.0136
Finland,2020,4899.339,61.9241,25.7482
France,2020,4663.7179,46.6034,1.8883
Germany,2020,133521.695,51.1657,10.4515
Greece,2020,6045.0055,39.0742,21.8243
Hungary,2020,3558.9425,47.1625,19.5033
Ireland,2020,1525.9818,53.4129,-8.2439
Italy,2020,14432.2088,41.8719,12.5674
Latvia,2020,0.0,56.8796,24.6032
Lithuania,2020,0.0,55.1694,23.8813
Luxembourg,2020,0.0,49.8153,6.1296
Malta,2020,0.0,35.9375,14.3754
Netherlands,2020,9644.6745,52.1326,5.2913
Poland,2020,100219.2516,51.9194,19.1451
Portugal,2020,2310.5718,39.3999,-8.2245
Romania,2020,8129.747,45.9432,24.9668
Slovakia,2020,1967.9423,48.669,19.699
Slovenia,2020,3927.0759,46.1512,14.9955
Spain,2020,5909.5393,40.4637,-3.7492
Sweden,2020,549.2539,60.1282,18.6435
EU27,2020,353626.4571,,
Austria,2021,2076.0408,47.5162,14.5501
Belgium,2021,1953.8461,50.5039,4.4699
Bulgaria,2021,14699.429,42.7339,25.4858
Croatia,2021,1350.0936,45.1,15.2
Cyprus,2021,0.0,35.1264,33.4299
Czechia,2021,31321.2546,49.8175,15.473
Denmark,2021,4048.8432,56.2639,9.5018
Estonia,2021,3360.5104,58.5953,25.0136
Finland,2021,5396.2638,61.9241,25.7482
France,2021,6923.7101,46.6034,1.8883
Germany,2021,162881.7697,51.1657,10.4515
Greece,2021,5051.886,39.0742,21.8243
Hungary,2021,2896.3332,47.1625,19.5033
Ireland,2021,2920.2537,53.4129,-8.2439
Italy,2021,14918.878,41.8719,12.5674
Latvia,2021,0.0,56.8796,24.6032
Lithuania,2021,0.0,55.1694,23.8813
Luxembourg,2021,0.0,49.8153,6.1296
Malta,2021,0.0,35.9375,14.3754
Netherlands,2021,16663.6165,52.1326,5.2913
Poland,2021,119496.6999,51.9194,19.1451
Portugal,2021,784.9466,39.3999,-8.2245
Romania,2021,9054.76,45.9432,24.9668
Slovakia,2021,1988.3772,48.669,19.699
Slovenia,2021,3459.4768,46.1512,14.9955
Spain,2021,5782.8111,40.4637,-3.7492
Sweden,2021,718.9155,60.1282,18.6435
EU27,2021,417748.7158,,
Austria,2022,1904.7404,47.5162,14.5501
Belgium,2022,2528.3834,50.5039,4.4699
Bulgaria,2022,18760.8581,42.7339,25.4858
Croatia,2022,1447.8031,45.1,15.2
Cyprus,2022,0.0,35.1264,33.4299
Czechia,2022,33759.4859,49.8175,15.473
Denmark,2022,3391.3317,56.2639,9.5018
Estonia,2022,3562.3336,58.5953,25.0136
Finland,2022,5151.695,61.9241,25.7482
France,2022,5452.8345,46.6034,1.8883
Germany,2022,178383.8664,51.1657,10.4515
Greece,2022,5283.2225,39.0742,21.8243
Hungary,2022,2857.9629,47.1625,19.5033
Ireland,2022,2108.5014,53.4129,-8.2439
Italy,2022,16440.4722,41.8719,12.5674
Latvia,2022,0.0,56.8796,24.6032
Lithuania,2022,0.0,55.1694,23.8813
Luxembourg,2022,0.0,49.8153,6.1296
Malta,2022,0.0,35.9375,14.3754
Netherlands,2022,16610.4218,52.1326,5.2913
Poland,2022,116672.132,51.9194,19.1451
Portugal,2022,0.0,39.3999,-8.2245
Romania,2022,8476.1869,45.9432,24.9668
Slovakia,2022,1953.9331,48.669,19.699
Slovenia,2022,2810.0442,46.1512,14.9955
Spain,2022,9005.3035,40.4637,-3.7492
Sweden,2022,682.8618,60.1282,18.6435
EU27,2022,437244.3744,,
Austria,2023,1786.9079,47.5162,14.5501
Belgium,2023,1766.3364,50.5039,4.4699
Bulgaria,2023,9880.0068,42.7339,25.4858
Croatia,2023,1229.1426,45.1,15.2
Cyprus,2023,0.0,35.1264,33.4299
Czechia,2023,27163.947,49.8175,15.473
Denmark,2023,2331.8409,56.2639,9.5018
Estonia,2023,2261.0557,58.5953,25.0136
Finland,2023,3187.7346,61.9241,25.7482
France,2023,2897.3047,46.6034,1.8883
Germany,2023,125661.7736,51.1657,10.4515
Greece,2023,4516.8373,39.0742,21.8243
Hungary,2023,2329.7258,47.1625,19.5033
Ireland,2023,1313.095,53.4129,-8.2439
Italy,2023,13812.6634,41.8719,12.5674
Latvia,2023,0.0,56.8796,24.6032
Lithuania,2023,0.0,55.1694,23.8813
Luxembourg,2023,0.0,49.8153,6.1296
Malta,2023,0.0,35.9375,14.3754
Netherlands,2023,10242.8774,52.1326,5.2913
Poland,2023,92513.8169,51.9194,19.1451
Portugal,2023,0.0,39.3999,-8.2245
Romania,2023,6561.1042,45.9432,24.9668
Slovakia,2023,1447.2293,48.669,19.699
Slovenia,2023,2820.1943,46.1512,14.9955
Spain,2023,4282.7277,40.4637,-3.7492
Sweden,2023,638.8223,60.1282,18.6435
EU27,2023,318645.1438,,
Austria,2024,10412.8436,47.5162,14.5501
Belgium,2024,54314.6947,50.5039,4.4699
Bulgaria,2024,16685.5322,42.7339,25.4858
Croatia,2024,6196.5342,45.1,15.2
Cyprus,2024,0.0,35.1264,33.4299
Czechia,2024,19495.7597,49.8175,15.473
Denmark,2024,10077.4328,56.2639,9.5018
Estonia,2024,15370.2315,58.5953,25.0136
Finland,2024,5233.9175,61.9241,25.7482
France,2024,767.3921,46.6034,1.8883
Germany,2024,39746.2066,51.1657,10.4515
Greece,2024,12931.5636,39.0742,21.8243
Hungary,2024,8718.4615,47.1625,19.5033
Ireland,2024,47428.964,53.4129,-8.2439
Italy,2024,29415.5401,41.8719,12.5674
Latvia,2024,0.0,56.8796,24.6032
Lithuania,2024,0.0,55.1694,23.8813
Luxembourg,2024,0.0,49.8153,6.1296
Malta,2024,0.0,35.9375,14.3754
Netherlands,2024,30576.4142,52.1326,5.2913
Poland,2024,31421.791,51.9194,19.1451
Portugal,2024,0.0,39.3999,-8.2245
Romania,2024,24588.2127,45.9432,24.9668
Slovakia,2024,11034.3895,48.669,19.699
Slovenia,2024,3353.7358,46.1512,14.9955
Spain,2024,9492.2429,40.4637,-3.7492
Sweden,2024,7229.2243,60.1282,18.6435
EU27,2024,394491.0845,,
